TIEMPO,ACEX,ACEY,ACEZ
0 , 20625 , -2759 , 354
1 , -1306 , -1597 , -82
2 , -3340 , -3485 , -372
3 , -3630 , -2469 , -517
4 , -3049 , -435 , 499
5 , -3775 , -1162 , -808
6 , -3485 , -1743 , -227
7 , -3485 , -1743 , -227
8 , -3485 , -1743 , -372
9 , -3485 , -1743 , -227
10 , -3485 , -1743 , -227
11 , -3340 , -1743 , -227
12 , -3340 , -1743 , -227
13 , -3340 , -1743 , -227
14 , -3340 , -1743 , -227
15 , -3340 , -1743 , -227
16 , -3340 , -1743 , -227
17 , -3340 , -1743 , -227
18 , -3195 , -1743 , -227
19 , -3195 , -1743 , -227
20 , -3195 , -1743 , -227
21 , -3195 , -1743 , -227
22 , -3195 , -1743 , -227
23 , -3195 , -1743 , -227
24 , -3195 , -1743 , -227
25 , -3195 , -1743 , -227
26 , -3195 , -1743 , -227
27 , -3195 , -1743 , -227
28 , -3195 , -1743 , -227
29 , -3195 , -1743 , -227
30 , -3195 , -1743 , -227
31 , -3195 , -1743 , -227
32 , -3195 , -1743 , -227
33 , -3340 , -1743 , -227
34 , -3195 , -1307 , -227
35 , -3340 , -1743 , -227
36 , -3340 , -1743 , -227
37 , -3195 , -1743 , -82
38 , -3340 , -1743 , -372
39 , -3340 , -1597 , -227
40 , -3340 , -1743 , -227
41 , -3340 , -1743 , -227
42 , -3340 , -1743 , -227
43 , -3340 , -1743 , -227
44 , -3340 , -1743 , -227
45 , -3340 , -1743 , -227
46 , -3340 , -1597 , -227
47 , -3340 , -1743 , -227
48 , -3340 , -1743 , -227
49 , -3340 , -1743 , -227
50 , -3340 , -1743 , -227
51 , -3340 , -1743 , -227
52 , -3340 , -1743 , -227
53 , -3340 , -1743 , -227
54 , -3340 , -1743 , -227
55 , -3340 , -1743 , -227
56 , -3340 , -1743 , -227
57 , -3340 , -1743 , -227
58 , -3340 , -1743 , -227
59 , -3340 , -1743 , -227
60 , -3340 , -1743 , -227
61 , -3340 , -1743 , -227
62 , -3485 , -1743 , -227
63 , -3340 , -1888 , -82
64 , -3775 , -6536 , -517
65 , -3630 , -435 , -1098
66 , -3921 , -581 , -1534
67 , -3775 , -1597 , -1098
68 , -3485 , -1016 , -517
69 , -2904 , -1452 , 354
70 , -3775 , -726 , -1389
71 , -3195 , -2759 , 209
72 , -2468 , -2178 , 1080
73 , -3049 , -2614 , -82
74 , -2178 , -3195 , 1807
75 , -3485 , -4212 , -517
76 , -2033 , -3921 , 2097
77 , -2468 , -3776 , 935
78 , -2178 , -6245 , 1661
79 , -1306 , 435 , 2388
80 , -1597 , -1162 , 1807
81 , -2614 , -1888 , -227
82 , -2033 , 1161 , 1226
83 , -2614 , -2614 , 499
84 , -2614 , -290 , 790
85 , -3485 , -1016 , -1534
86 , -4356 , 145 , -3422
87 , -4647 , 2904 , -3422
88 , -2178 , -1162 , 1952
89 , -2178 , 2033 , 645
90 , -5228 , 1161 , -4584
91 , -2033 , -4647 , 3404
92 , -7116 , 0 , -7634
93 , -6680 , -1888 , -6037
94 , -2904 , 2323 , 354
95 , -3340 , 2033 , -808
96 , -3775 , 2033 , -1098
97 , -2904 , -1162 , 645
98 , -4502 , -1452 , -1970
99 , -5373 , -145 , -3568
100 , -2904 , -4357 , 1371
101 , -2178 , 871 , 1952
102 , -3485 , -3340 , -517
103 , -3049 , -581 , 209
104 , -4211 , -1597 , -1825
105 , -3485 , 1452 , -953
106 , -2904 , 1307 , 209
107 , -3049 , -4066 , 790
108 , -3195 , -2033 , -227
109 , -3340 , -3631 , -82
110 , -3195 , 1597 , -517
111 , -5083 , -5374 , -2551
112 , 1598 , 5954 , 7907
113 , 0 , 435 , 5002
114 , -4792 , -1307 , -3422
115 , -5228 , -581 , -3713
116 , -2468 , -1307 , 1807
