TIEMPO,ACEX,ACEY,ACEZ
0 , -725 , -2469 , -227
1 , -1742 , -2614 , -517
2 , -1887 , -1452 , -663
3 , -1597 , -871 , 209
4 , -580 , -871 , 64
5 , -1306 , -1016 , -82
6 , 581 , -1743 , 1371
7 , -1016 , 145 , -1098
8 , -2759 , 2033 , -372
9 , -3340 , -2614 , 645
10 , -1742 , 2759 , 64
11 , -1161 , -1452 , -227
12 , 1598 , -2178 , 1080
13 , -2033 , -726 , -227
14 , 145 , 726 , -82
15 , 2033 , -1162 , -517
16 , 1307 , 290 , 1226
17 , -2614 , 1888 , -3132
18 , -435 , -3485 , -1534
19 , 1888 , -1307 , -663
20 , -2178 , 1016 , -1970
21 , -1597 , -435 , 354
22 , -2759 , 1742 , -1389
23 , -4066 , -1743 , 499
24 , -725 , 435 , 64
25 , -1887 , -1162 , -663
26 , -2323 , -1597 , -808
27 , -2033 , -1016 , -1244
28 , -1742 , -1016 , -663
29 , -1887 , -871 , -953
30 , -1742 , -726 , -517
31 , -2033 , -2178 , -663
32 , 0 , 290 , 790
33 , -435 , -1597 , 790
34 , -2178 , -1597 , -2115
35 , 1598 , 435 , -953
36 , -4647 , -1016 , 1516
37 , -1016 , 2614 , -953
38 , 3341 , -2178 , 790
39 , -3340 , -435 , -2260
40 , 1743 , -3631 , 3259
41 , 290 , 3195 , -227
42 , 1888 , -581 , -1679
43 , 1743 , -1016 , -1098
44 , 3050 , -3631 , 1952
45 , 2324 , -3776 , -3858
46 , 4648 , 871 , 4131
47 , 1307 , 580 , -808
48 , 145 , -1743 , 1226
49 , 1452 , -726 , -1679
50 , 2324 , -1162 , 1226
51 , 2324 , -581 , -227
52 , 3341 , -581 , -1825
53 , 1307 , -1162 , 1952
54 , 2179 , -3195 , -1825
55 , 4648 , -435 , 2533
56 , 1743 , 145 , -517
57 , 5955 , -1162 , 1807
58 , 3195 , -290 , 209
59 , 2469 , 580 , 935
60 , 1743 , -3340 , -1679
61 , 4067 , -290 , -82
62 , 2469 , -3195 , 1661
63 , 2469 , 580 , 1371
64 , 4938 , 435 , 499
65 , 1452 , -3631 , 1661
66 , 3486 , 2033 , -4439
67 , 7262 , -3921 , 2969
68 , 4502 , -145 , 4566
69 , 6826 , -1743 , 5438
70 , 4067 , -4938 , -1534
71 , 1162 , 1742 , -1534
72 , 1017 , 145 , 2388
73 , 3486 , -1307 , 3985
74 , -1306 , -581 , 935
75 , -1452 , 1452 , -517
76 , 145 , 435 , -227
77 , -2178 , 580 , -372
78 , -1597 , -726 , -517
79 , -725 , 290 , -372
80 , 1017 , 2759 , -372
81 , -4792 , -2033 , -82
82 , -144 , -2759 , -517
83 , -3049 , 2469 , -808
84 , -2904 , -4793 , 499
85 , 581 , 871 , -227
86 , -2323 , -2033 , 64
87 , -435 , 2033 , 645
88 , -2614 , 0 , 354
89 , -1887 , -3340 , 209
90 , 1307 , 2759 , 209
91 , -3340 , 1307 , 1080
92 , 726 , 1452 , 790
93 , -1306 , 1452 , -953
94 , -1452 , 1597 , -953
95 , -3630 , -2033 , 64
96 , -2468 , -4793 , 1952
97 , 290 , -2033 , -372
98 , 145 , 1452 , 354
99 , 1452 , 5519 , 499
100 , -1742 , 2033 , 64
101 , -2759 , 1307 , 499
102 , -2759 , 1307 , -663
103 , -2178 , 1597 , -372
104 , -144 , 871 , -808
105 , 1452 , 1597 , -82
106 , 1598 , 2614 , 499
107 , 726 , 1452 , -227
108 , 1017 , 1888 , -372
109 , 871 , 1742 , -372
110 , -435 , 726 , 499
111 , -1597 , 1016 , 209
112 , -3195 , -3631 , -82
113 , -2614 , -3485 , 64
